S6 Anteil;S4 Anteil;M100 Anteil;Penetration;Erweichungspunkt;;
0.693435733;0.306564267;0;146;41.6;48.5888;43.72463354
0.690593489;0.309406511;0;146;41.4;48.3552;42.88981967
1;0;0;76;47.4;28.8192;38.36427178
1;0;0;83;46.2;30.6768;37.81342314
1;0;0;85;45.6;31.008;36.75177308
1;0;0;85;45.6;31.008;36.75177308
0.901328844;0.098671156;0;106;44.4;37.6512;41.19435865
0.901353876;0.098646124;0;191;39;59.592;44.1867231
0.901044534;0.098955466;0;194;39.2;60.8384;45.8084923
0.901062383;0.098937617;0;195;38.8;60.528;44.19381708
0.898657776;0.101342224;0;195;38.8;60.528;44.19381708
0.901546494;0.098453506;0;191;39;59.592;44.1867231
0.902525398;0.097474602;0;193;39.4;60.8336;46.50955629
0.901074214;0.098925786;0;181;40;57.92;46.336
0.900327741;0.099672259;0;185;39.6;58.608;45.49382703
0.899598409;0.100401591;0;178;40.4;57.5296;47.41824353
0.900621391;0.099378609;0;196;38.8;60.8384;44.42045203
0.90107262;0.09892738;0;197;38.8;61.1488;44.64708699
0.902019749;0.097980251;0;194;39;60.528;44.8807554
0.902038274;0.097961726;0;195;39;60.84;45.1120995
0.902041456;0.097958544;0;203;39;63.336;46.9628523
0.902042708;0.097957292;0;199;39;62.088;46.0374759
0.902022659;0.097977341;0;182;39.6;57.6576;44.7560893
0.902029441;0.097970559;0;184;39.4;57.9968;44.34071688
0.900549724;0.099450276;0;186;39.2;58.3296;43.91948231
0.900542155;0.099457845;0;190;39.2;59.584;44.8639873
0.899603842;0.100396158;0;212;38.8;65.8048;48.04661138
0.899856671;0.100143329;0;220;38.8;68.288;49.85969106
0.89984888;0.10015112;0;208;39.6;65.8944;51.14981634
0.900838568;0.099161432;0;202;39.2;63.3472;47.69750229
0.898562139;0.101437861;0;189;39;58.968;43.7240349
0.898413908;0.101586092;0;171;40.2;54.9936;44.65810832
0.899849712;0.100150288;0;164;40.6;53.2672;44.56028731
0.899885095;0.100114905;0;148;41;48.544;41.8212628
0.90291142;0.09708858;0;110;44.4;39.072;42.74886275
0.902872514;0.097127486;0;114;43.8;39.9456;41.95669718
0.943321161;0.056678839;0;150;40.4;48.48;39.95919398
0.897865656;0;0.102134344;194;38.6;59.9072;43.06762755
0.897835417;0;0.102164583;192;38.6;59.2896;42.62363139
0.900762166;0;0.099237834;196;39.6;62.0928;48.1988654
0.897814595;0;0.102185405;178;40.8;58.0992;49.32426867
1;0;0;94;45.4;34.1408;39.93477713
1;0;0;92;45.4;33.4144;39.08510102
1;0;0;92;45.2;33.2672;38.40091446
1;0;0;87;46;32.016;38.9538672
1;0;0;88;45.6;32.1024;38.04889448
1;0;0;66;48.8;25.7664;37.43029273
